event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
1,Adventure in a Con,Y,11/10/2017 7:00 PM,11/10/2017 11:00 PM,Role Playing,,,"Come and play some Æther! See why this universal system is heralded as one of the best on the market! You and the rest of the players at the table will generate three settings: a time, a technology, a tone, and a genre. Pick which of the three you want to play and we'll use the Æther Core Book to run it on the spot! <br /> <br /> See what happens and join us in what could be the craziest, best game you've ever played at a convention!<br />",,Kevin Rohan,,,,,RPG Table 2,,,,,,,,Silver Gryphon Games,,n
10,D&D Adventures League DDAL 7-3 A Day at the Races (Level 1-4),Y,11/12/2017 9:00 AM,11/12/2017 11:00 AM,Role Playing,,,The Merchant Princes have a treat in store for everyone! A new team-based event has been added to the roster and the factions are throwing their hats into the ring. Climb aboard and saddle up! Part One of The Jungle Has Fangs Trilogy. (Level 1-4),,Kevin Engling,,,,,RPG Table 3,,,,,,,,,,n
11,D&D Adventure's League DDAL 7-4 A Walk in the Park (Level 1-4),Y,11/12/2017 11:00 AM,11/12/2017 1:00 PM,Role Playing,,,"A mysterious clue has led you outside of the safety of the city’s walls and into the jungle beyond. You have been asked to venture into the jungle and seek out the wisdom of some of the native humanoids in the area�""perhaps they will be able to shed some light on the situation and provide some insight on who is behind it all. Part Two of The Jungle Has Fangs Trilogy. (Level 1-4)",,Kevin Engling,,,,,RPG Table 3,,,,,,,,,,n
12,D&D Adventure's League DDAL 7-5 Whispers in the Dark (Level 1-4),Y,11/12/2017 1:00 PM,11/12/2017 3:00 PM,Role Playing,,,"The temple lay just ahead, and within the answers to a great many questions about the recent goings on in Port Nyanzaru. The journey here has been long and arduous and hopefully soon at an end. Leave your trepidations at the door; there’s exploring to be done! Part Three of The Jungle Has Fangs Trilogy. (Level 1-4)",,Kevin Engling,,,,,RPG Table 3,,,,,,,,,,n
13,The Battle for Melate Prime,Y,11/11/2017 3:00 PM,11/11/2017 7:00 PM,Role Playing,,,"Humanity is shattered and spread. Alien races are rampaging through our resource-rich solar system. After a century of fighting amongst ourselves, we have scavenged alien tech to allow us to fight back. You are one of those few troops fighting back. Wearing an advanced battle suit, you are assigned to hit an Anti-Matter Collection Facility on Melate Prime, the largest settlement on Ganymede. Just be careful; the anti-matter you're stealing is highly volatile.",,Kevin Rohan,,,,,RPG Table 2,,,,,,,,Silver Gryphon Games,,n
14,The Forsaken Temple,Y,11/11/2017 8:00 PM,11/11/2017 11:00 PM,Role Playing,,,"Whitescar is growing and reports state that there's another Godstone creating a stable pocket in the ever-shifting wastes of Hades. You are to take a small crew out to where the scouts said the temple was located. <br /> <br /> Come back alive, come back with your shield, and be ready for whatever horrors the Godstone has lured to it over the years. Some of them are certain to be hungry.<br />",,Kevin Rohan,,,,,RPG Table 2,,,,,,,,,,n
15,A Fistful of Muppets,Y,11/11/2017 11:30 PM,11/12/2017 2:30 AM,Role Playing,,,"In the town of El Rey, there is a group of army soldiers that is bringing a shipment of gold through town. With a ragtag group of Muppets, you plan on hitting that shipment, but something else is wrong in El Rey...<br /> With this dark twist on the Muppets, you play Grover, Animal, Bert, Ernie, Beaker, and Oscar the Grouch as you unleash murder and mayhem on El Rey! <br /> <br /> Not one for the kids!<br />",,Kevin Rohan,,,,,RPG Table 2,,,,,,,,Silver Gryphon Games,,n
16,The Great Cooking Mama Tournament,Y,11/11/2017 4:00 PM,11/11/2017 5:30 PM,Video Game,,,People come from far away to make themselves known in the greatest Esports competition in the world: Cooking Mama<br /> <br /> Sponsered by the DSU Esports Club come and see if you are the best cook in the Midwest. Entry is Free! Winner will receive a price fit for the 5 star chef,,Dominic Sharma,,,,,Video Game Projector 3,,,,,,,,DSU Esports,,y
17,Hearthstone Fireside Gathering,Y,11/11/2017 5:00 PM,11/11/2017 8:30 PM,Card Game,,,Round Robin Hearthstone Tournament - Just a chill place to chill with chillers of the Chillstone.,,Spencer Raap,,,,,Computer Games,,,,,,,,DSU eSports Club,,n
18,Game Project Demos/Playtesting,Y,11/11/2017 1:00 PM,11/11/2017 4:00 PM,Presentation,,,"GAME 333/444 will be playtesting their games at Nanocon! Games to play: Crusade in the Walls, Florida Man, Stormbreakers, Murder Mystery in Minnesota",,Rachel Groth,,,,,Console Games,,,,,,,,Game Design,,n
19,Game Projects Setup,Y,11/11/2017 12:00 PM,11/11/2017 1:00 PM,Setup,,,Setup for the demos and playtesting,,Rachel Groth,,,,,Console Games,,,,,,,,Game design,,n
2,Public Transit Assassins,Y,11/10/2017 7:00 PM,11/10/2017 11:00 PM,Role Playing,,,"A misdialed phone call from one of the major players in Wellstone City hands an opportunity to you and your crew. It's just a simple job, the promise of a reward, but it's a start and it's a chance; in Wellstone, that's as good as cash in hand....",,Allen Thiele,,,,,RPG Table 5,,,,,,,,Silver Gryphon Games,,n
20,Counter Strike 1v1 Tournament,Y,11/10/2017 6:00 PM,11/10/2017 8:00 PM,Computer Game,,,Want to test your Counter Strike Skills? Come and prove it in a double elimination 1v1 tournament!<br>Attendees are expected to bring a mouse and keyboard. A computer will be provided.<br>Entry is free!<br>,,Dillon Rangel,,,,,Video Game Projector 2,,,,,,,,DSU Esports,,n
