event_key,name,active,event_start,event_end,event_type,event_subtype,seats,description,speakers,moderators,artists,sponsors,exhibitors,volunteers,venue,address,media_url,company,audience,subject,geo_area,tags,host_org,rsvp_url,surveys
21,Gamma World v3.5 (2010 ed.),Y,11/10/2017 9:00 PM,11/11/2017 12:00 AM,Role Playing,,,"A wacky, wily roleplaying game of post-apocalyptic peril. Earth. After the apocalypse. Never mind the radiation�""you’re gonna like it here. <br /> The D&D® Gamma World™ Roleplaying Game offers hours of rollicking entertainment in a savage land of adventure, where the survivors of some mythical future disaster must contend with radioactive wastes, ravaged cities, and rampant lawlessness. Against a nuclear backdrop, heroic scavengers search crumbled ruins for lost artifacts while battling mutants and other perils.",,Peter Schueller,,,,,RPG Table 1,,,,,,,,,,n
22,Ultimate Jackbox Party night,Y,11/10/2017 9:00 PM,11/11/2017 1:00 AM,Video Game,,,"Welcome to the ultimate jackbox experience. Jackbox is a social party game where you and up to 16 people can play at once. more people can even join in as the audience as they can participate in it as well...Jackbox features minigames such as quiplash, faking it, drawful, and many more. Choose between all 4 jackboxes as you laugh it out on this fantastic social experience",,David Enersen,,,,,Gaming Table 1,,,,,,,,,,n
23,NANOCON Smash 4 Tournament,Y,11/11/2017 7:00 PM,11/12/2017 12:00 AM,Video Game,,,"Super smash bros for wii u tournament, where we'll be going by tournament standards to see who'll come up at top. do you have what it takes to be the top player?",,David Enersen,,,,,Video Game Projector 3,,,,,,,,,,n
24,Schroedinger's Box,Y,11/11/2017 3:00 PM,11/11/2017 7:00 PM,Role Playing,,,"Jerry ""The Rat"" Pauluzi has crossed sold out, and almost every major crime syndicate in town either wants him dead or has pulled their protection from him. With a few well-placed calls and a letter from the Black Dragons, even the PCs catch wind of his location; a hardened hotel used for witness protection in extreme cases. The Black Dragons want him out alive, while everyone else has a price on his head so big that it's scaring the small fish away, but the big time hitters are all drooling at the chance to hit Jerry and cash in big-time. On top of that, even the FBI guarding Jerry are salivating at the price-tag around his neck, and some of them have agreed to work together to take the little rat out themselves...",,Allen Thiele,,,,,RPG Table 5,,,,,,,,Silver Gryphon Games,,n
25,Camp Wicakini,Y,11/11/2017 8:00 PM,11/12/2017 12:00 AM,Role Playing,,,"Nestled among the dark forests of lake country stands a summer camp. It is a place named after an old Indian word; Camp Wicakini. On the shores of Lake Wicakini, the Lake of Ressurection, the camp has stood for decades. However, now something evil walks the woods; something terrible, something...hungry....",,Allen Thiele,,,,,RPG Table 5,,,,,,,,Silver Gryphon Games,,n
26,Behind Enemy Lines,Y,11/12/2017 12:00 PM,11/12/2017 4:00 PM,Role Playing,,,"The year is 1864 and the South is losing, though they are not going down without a fight. Northern Intelligence has gathered many rumors of secret weapons and dark pacts between the Confederate states and foreign powers, but one in particular has the full attention of the Northern leaders. You and your squad of Union soldiers are sent to investigate what the nature of this alliance is.",,Allen Thiele,,,,,RPG Table 5,,,,,,,,Silver Gryphon Games,,n
27,Jabk box paty packs 1-4,Y,11/11/2017 3:00 PM,11/11/2017 4:00 PM,Video Game,,,will play games like quiplash fibbage 3 bracketering trival murder party and many more All you will need to have is a phone or some way to access jackbox.tv the max people can play will very based on the game we but any one can be an audience member(some games dont have it).,,Nick griffin,,,,,Video Game Projector 2,,,,,,,,,,n
28,Betral at the house on the hill with widows walk,Y,11/11/2017 6:00 PM,11/11/2017 9:00 PM,Board Game,,,"Betrayal at House on the Hill quickly builds suspense and excitement as players explore a haunted mansion of their own design, encountering spirits and frightening omens that foretell their fate. With an estimated one hour playing time, Betrayal at House on the Hill is ideal for parties, family gatherings or casual fun with friends. (3-6 players)",,Nick griffin,,,,,Gaming Table 2,,,,,,,,,,n
29,Swimming with the Fishes,Y,11/10/2017 1:00 PM,11/10/2017 3:00 PM,Video Game,,,"ABZU (PS4) One-player, try out a game centered around fishes and exploration. Feel free to come try it out. ABZU will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,Tracy Booze,,,,,Speed Run Allyway,,,,,,,,,,n
3,The Double Tap,Y,11/11/2017 10:00 AM,11/11/2017 2:00 PM,Role Playing,,,"Things went wrong. Horribly, horribly wrong. It's like you weren't prepared at all for the mission. Resources were forgotten, the plan was just wrong right off the jump. It's almost like they were expecting you. And now, the boss wants answers. Nothing ever seems to go according to plan in Wellstone City, but this was just unreal...<br /> <br /> Just what DID happen out there?<br />",,Kevin Rohan,,,,,RPG Table 2,,,,,,,,Silver Gryphon Games,,n
30,Creeping through the Dark,Y,11/10/2017 7:00 PM,11/10/2017 11:00 PM,Video Game,,,"Little Nightmares (PS4) One-player, Join Six in her quest to stay alive on a ship full of inhabitants looking for her. Feel free to come try it out. Little Nightmares will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,Tracy Booze,,,,,Speed Run Allyway,,,,,,,,,,n
31,Starving or Survival,Y,11/11/2017 11:00 AM,11/11/2017 1:00 PM,Video Game,,,"Don't Starve Together (PS4) Couch co-op 2 players, survive the horrors of world while gather food to keep yourself alive and sane from the Eldritch abominations. Feel free to come try it out. Don't Starve will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,Tracy Booze,,,,,Speed Run Allyway,,,,,,,,,,n
32,Chasing the Colors,Y,11/11/2017 3:00 PM,11/11/2017 5:00 PM,Video Game,,,"Hue (PS4) One-player, Solve puzzles by changing the colors of your surroundings. Feel free to come try it out. Hue will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,Tracy Booze,,,,,Speed Run Allyway,,,,,,,,,,n
33,Persona through the Years,Y,11/11/2017 6:00 PM,11/11/2017 9:00 PM,Video Game,,,"Persona Games (One-player), persona has been around for 20 years, Persona 3, 4 and 5, will be available for play. Feel free to come watch or play. Something Persona will be up for play or viewing, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,Tracy Booze,,,,,Speed Run Allyway,,,,,,,,,,n
34,Pathfinder: The Hellish Game,Y,11/11/2017 3:30 PM,11/12/2017 3:30 AM,Role Playing,,,We will be playing a game of Pathfinder with a group of people and an original campaign provided by the Game Master,,Kyle Lehman,,,,,RPG Table 1,,,,,,,,,,n
35,NANOCON: melee tournament,Y,11/11/2017 6:00 PM,11/11/2017 10:00 PM,Video Game,,,test to see who's the best in this nintendo smash hit in the gamecube era!,,David Enersen,,,,,Video Game Projector 2,,,,,,,,,,n
36,NANOCON: Pokkan Tournament DX Tournament,Y,11/11/2017 5:00 PM,11/11/2017 8:00 PM,Video Game,,,Think you got what it takes to be Pokkan champion? compete with other players in this hybrid fighter game.<br>,,David Enersen,,,,,Video Game Projector 1,,,,,,,,,,n
37,DJMAX RESPECT,Y,11/10/2017 7:00 PM,11/10/2017 9:00 PM,Video Game,,,The hit rhythm based game from korea comes to PS4 at last! Tap to hit notes to the beat of the rhythm in a style similar to guitar hero. play from 4 button mode or if your really coordinated 8 button mode! Duke it out among each other in the game's vs mode as well to see who's the best djmax player!,,David Enersen,,,,,Video Game Projector 1,,,,,,,,,,n
38,Warhamer 40k,Y,11/10/2017 11:00 AM,11/10/2017 3:00 PM,Miniatures,,,40k play session,,Carl Petersen,,,,,Miniatures Area,,,,,,,,,,n
39,PARANOIA (RPG),Y,11/10/2017 7:00 PM,11/10/2017 11:00 PM,Role Playing,,,"Ever wanted to shoot terrorists, communists, traitors or mutants? Want to murder your teammates because they are likely one of the above? Want to roll some six sided dice to do it? Paranoia is the game for you!",,Adam Larson,,,,,RPG Table 6,,,,,,,,,,n
4,Two-Bit Thugs,Y,11/11/2017 10:00 AM,11/11/2017 2:00 PM,Role Playing,,,Two start up gangs accidentally touched off a potential political firestorm with a fire-fight. An innocent was gunned down by accident when two gangs went after each other in Wellstone City Park. Neutral territory. Holy Ground. Now the Mayor's Office wants this taken care of quickly and quietly.,,Allen Thiele,,,,,RPG Table 5,,,,,,,,Silver Gryphon Games,,n
40,PARANOIA (RPG),Y,11/11/2017 2:00 PM,11/11/2017 6:00 PM,Role Playing,,,"Ever wanted to shoot terrorists, communists, traitors or mutants? Want to murder your teammates because they are likely one of the above? Want to roll some six sided dice to do it? Paranoia is the game for you!",,Adam Larson,,,,,RPG Table 6,,,,,,,,,,n
41,Edh top 8,Y,11/11/2017 4:00 PM,11/12/2017 12:00 AM,Card Game,,,The last tournament of the edh league,,Preston Evans,,,,,Gaming Table 1,,,,,,,,Gaming club,,n
42,Guilty Gear Tournament,Y,11/12/2017 2:00 PM,11/12/2017 4:00 PM,Video Game,,,Try your skills at climbing the tournament ladders in Guilty Gear!<br>,,David Enersen,,,,,Video Game Projector 2,,,,,,,,,,y
43,Tekken Tournement,Y,11/12/2017 12:00 PM,11/12/2017 2:00 PM,Video Game,,,Try your skills at climbing the tournament ladders in Tekken!<br>,,David Enersen,,,,,Video Game Projector 1,,,,,,,,,,y
44,Dark Souls the Board Game,Y,11/11/2017 3:00 PM,11/11/2017 7:00 PM,Board Game,,,"4 players max, $25 dollar entry fee, winner will take the game with. Conditions for winning : Randomized after 2 play throughs.<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
45,Clank! Deck Building Game,Y,11/12/2017 2:30 PM,11/12/2017 4:30 PM,Card Game,,,"4 players max, $15 dollar entry fee, winner will take the game with. Conditions for winning : Most points over 2 games<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
46,Betrayal at Baldur's Gate,Y,11/11/2017 5:00 PM,11/11/2017 9:00 PM,Board Game,,,"4 players max, $12 dollar entry fee, winner will take the game with. Conditions for winning : Most wins over three games<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
47,Settlers of Catan,Y,11/10/2017 8:00 PM,11/10/2017 10:00 PM,Board Game,,,"4 players max, $12 dollar entry fee, winner will take the game with. Conditions for winning : Most points over 2 games.<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
48,Tsuro,Y,11/11/2017 8:00 PM,11/11/2017 9:30 PM,Board Game,,,"6-8 players, $5 dollar entry fee, winner will take the game with. Conditions for winning : lowest average placed over 5 games<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
49,MtG Commander Pods,Y,11/11/2017 4:00 PM,11/11/2017 8:00 PM,Card Game,,,"4-16 players, $10 dollar entry fee, prize will be 1 commander deck per 4 players<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
5,D&D Adventure League Tomb of Annihilation Hardcover Level 1+,Y,11/10/2017 7:00 PM,11/11/2017 12:00 AM,Role Playing,,,"The talk of the streets and taverns has all been about the so-called death curse: a wasting disease afflicting everyone who’s ever been raised from the dead. Victims grow thinner and weaker each day, slowly but steadily sliding toward the death they once denied.<br /> <br /> When they finally succumb, they can’t be raised�""and neither can anyone else, regardless of whether they’ve ever received that miracle in the past. Temples and scholars of divine magic are at a loss to explain a curse that has affected the entire region, and possibly the entire world.<br /> <br /> The cause is a necromantic artifact called the Soulmonger, which is located somewhere in Chult, a mysterious peninsula far to the south, ringed with mountains and choked with rainforests. (Starting from beginning of book and running all weekend. Feel free to come and go as you want.)",,Russell Engel,,,,,RPG Table 4,,,,,,,,,,n
50,MtG Commander 1v1,Y,11/12/2017 4:00 PM,11/12/2017 8:00 PM,Card Game,,,"4-16 players, $10 dollar entry fee, prize will be 1 commander deck per 4 players<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
51,MtG Modern,Y,11/11/2017 6:00 PM,11/12/2017 12:00 AM,Card Game,,,"4-16 players, $5 dollar entry fee, prize will be announced at event.<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
52,MtG Modern,Y,11/10/2017 6:00 PM,11/11/2017 12:00 AM,Card Game,,,"4-16 players, $5 dollar entry fee, prize will be announced at event.<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
53,MtG Standard,Y,11/12/2017 2:00 PM,11/12/2017 6:00 PM,Card Game,,,"4-16 players, $5 dollar entry fee, prize will be announced at event.<br>",,Robert Graves,,,,,Dragons Den,,,,,,,,Dragons Den,,y
6,D&D Adventure League Tomb of Annihilation Hardcover,Y,11/11/2017 9:00 AM,11/12/2017 12:00 AM,Role Playing,,,"The talk of the streets and taverns has all been about the so-called death curse: a wasting disease afflicting everyone who’s ever been raised from the dead. Victims grow thinner and weaker each day, slowly but steadily sliding toward the death they once denied.<br /> <br /> When they finally succumb, they can’t be raised�""and neither can anyone else, regardless of whether they’ve ever received that miracle in the past. Temples and scholars of divine magic are at a loss to explain a curse that has affected the entire region, and possibly the entire world.<br /> <br /> The cause is a necromantic artifact called the Soulmonger, which is located somewhere in Chult, a mysterious peninsula far to the south, ringed with mountains and choked with rainforests. (Starting from beginning of book and running all weekend. Feel free to come and go as you want.)",,Russell Engel,,,,,RPG Table 4,,,,,,,,,,n
7,D&D Adventure League Tomb of Annihilation Hardcover,Y,11/12/2017 9:00 AM,11/12/2017 6:00 PM,Role Playing,,,"The talk of the streets and taverns has all been about the so-called death curse: a wasting disease afflicting everyone who’s ever been raised from the dead. Victims grow thinner and weaker each day, slowly but steadily sliding toward the death they once denied.<br /> <br /> When they finally succumb, they can’t be raised�""and neither can anyone else, regardless of whether they’ve ever received that miracle in the past. Temples and scholars of divine magic are at a loss to explain a curse that has affected the entire region, and possibly the entire world.<br /> <br /> The cause is a necromantic artifact called the Soulmonger, which is located somewhere in Chult, a mysterious peninsula far to the south, ringed with mountains and choked with rainforests. (Starting from beginning of book and running all weekend. Feel free to come and go as you want.)",,Russell Engel,,,,,RPG Table 4,,,,,,,,,,n
8,D&D Adventures League DDAL 6-2 The Redemption of Kelvan (Level 5-10),Y,11/10/2017 7:00 PM,11/10/2017 9:00 PM,Role Playing,,,"A strange, foreign wizard calling himself Kelvan has appeared at the same time a strange mountain materializes out of thin air. He asks you to recover the Gloomblade from a Netherese ruin in order to help him with his research into this strange new mountain.<br /> A strange, foreign wizard calling himself Kelvan has appeared at the same time a strange mountain materializes out of thin air. He asks you to recover the Gloomblade from a Netherese ruin in order to help him with his research into this strange new mountain. (Level 5-10)",,Kevin Engling,,,,,RPG Table 3,,,,,,,,,,n
9,D&D Adventures League White Plume Mountain (Level 8),Y,11/11/2017 9:00 AM,11/11/2017 9:00 PM,Role Playing,,,Join in and play a classic adventure called White Plume Mountain. This is a level 8 adventure in the Tales From The Yawning Portal hardcover book.,,Kevin Engling,,,,,RPG Table 3,,,,,,,,,,n
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
