1,"Adventure in a Con",N,"11/10/2017 19:00","11/10/2017 23:00","Role Playing",,6,"Come and play some Æther! See why this universal system is heralded as one of the best on the market! You and the rest of the players at the table will generate three settings: a time, a technology, a tone, and a genre. Pick which of the three you want to play and we'll use the Æther Core Book to run it on the spot! 

See what happens and join us in what could be the craziest, best game you've ever played at a convention!
",,"Kevin Rohan",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
2,"Public Transit Assassins",N,"11/10/2017 19:00","11/10/2017 23:00","Role Playing",,6,"A misdialed phone call from one of the major players in Wellstone City hands an opportunity to you and your crew. It's just a simple job, the promise of a reward, but it's a start and it's a chance; in Wellstone, that's as good as cash in hand....",,"Allen Thiele",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
3,"The Double Tap",N,"11/11/2017 10:00","11/11/2017 14:00","Role Playing",,6,"Things went wrong. Horribly, horribly wrong. It's like you weren't prepared at all for the mission. Resources were forgotten, the plan was just wrong right off the jump. It's almost like they were expecting you. And now, the boss wants answers. Nothing ever seems to go according to plan in Wellstone City, but this was just unreal...

Just what DID happen out there?
",,"Kevin Rohan",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
4,"Two-Bit Thugs",N,"11/11/2017 10:00","11/11/2017 14:00","Role Playing",,6,"Two start up gangs accidentally touched off a potential political firestorm with a fire-fight. An innocent was gunned down by accident when two gangs went after each other in Wellstone City Park. Neutral territory. Holy Ground. Now the Mayor's Office wants this taken care of quickly and quietly.",,"Allen Thiele",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
5,"D&D Adventure League Tomb of Annihilation Hardcover Level 1+",N,"11/10/2017 19:00","11/11/2017 00:00","Role Playing",,7,"The talk of the streets and taverns has all been about the so-called death curse: a wasting disease afflicting everyone who’s ever been raised from the dead. Victims grow thinner and weaker each day, slowly but steadily sliding toward the death they once denied.

When they finally succumb, they can’t be raised�""and neither can anyone else, regardless of whether they’ve ever received that miracle in the past. Temples and scholars of divine magic are at a loss to explain a curse that has affected the entire region, and possibly the entire world.

The cause is a necromantic artifact called the Soulmonger, which is located somewhere in Chult, a mysterious peninsula far to the south, ringed with mountains and choked with rainforests. (Starting from beginning of book and running all weekend. Feel free to come and go as you want.) ",,"Russell Engel",,,,,"RPG Area",,,,,,,,,
6,"D&D Adventure League Tomb of Annihilation Hardcover",N,"11/11/2017 09:00","11/12/2017 00:00","Role Playing",,7,"The talk of the streets and taverns has all been about the so-called death curse: a wasting disease afflicting everyone who’s ever been raised from the dead. Victims grow thinner and weaker each day, slowly but steadily sliding toward the death they once denied.

When they finally succumb, they can’t be raised�""and neither can anyone else, regardless of whether they’ve ever received that miracle in the past. Temples and scholars of divine magic are at a loss to explain a curse that has affected the entire region, and possibly the entire world.

The cause is a necromantic artifact called the Soulmonger, which is located somewhere in Chult, a mysterious peninsula far to the south, ringed with mountains and choked with rainforests. (Starting from beginning of book and running all weekend. Feel free to come and go as you want.) ",,"Russell Engel",,,,,"RPG Area",,,,,,,,,
7,"D&D Adventure League Tomb of Annihilation Hardcover",N,"11/12/2017 09:00","11/12/2017 18:00","Role Playing",,7,"The talk of the streets and taverns has all been about the so-called death curse: a wasting disease afflicting everyone who’s ever been raised from the dead. Victims grow thinner and weaker each day, slowly but steadily sliding toward the death they once denied.

When they finally succumb, they can’t be raised�""and neither can anyone else, regardless of whether they’ve ever received that miracle in the past. Temples and scholars of divine magic are at a loss to explain a curse that has affected the entire region, and possibly the entire world.

The cause is a necromantic artifact called the Soulmonger, which is located somewhere in Chult, a mysterious peninsula far to the south, ringed with mountains and choked with rainforests. (Starting from beginning of book and running all weekend. Feel free to come and go as you want.) ",,"Russell Engel",,,,,"RPG Area",,,,,,,,,
8,"D&D Adventures League DDAL 6-2 The Redemption of Kelvan (Level 5-10)",N,"11/10/2017 19:00","11/10/2017 21:00","Role Playing",,7,"A strange, foreign wizard calling himself Kelvan has appeared at the same time a strange mountain materializes out of thin air. He asks you to recover the Gloomblade from a Netherese ruin in order to help him with his research into this strange new mountain.
A strange, foreign wizard calling himself Kelvan has appeared at the same time a strange mountain materializes out of thin air. He asks you to recover the Gloomblade from a Netherese ruin in order to help him with his research into this strange new mountain. (Level 5-10)",,"Kevin Engling",,,,,"RPG Area",,,,,,,,,
9,"D&D Adventures League White Plume Mountain (Level 8)",N,"11/11/2017 09:00","11/11/2017 21:00","Role Playing",,7,"Join in and play a classic adventure called White Plume Mountain. This is a level 8 adventure in the Tales From The Yawning Portal hardcover book. ",,"Kevin Engling",,,,,"RPG Area",,,,,,,,,
10,"D&D Adventures League DDAL 7-3 A Day at the Races (Level 1-4)",N,"11/12/2017 09:00","11/12/2017 11:00","Role Playing",,7,"The Merchant Princes have a treat in store for everyone! A new team-based event has been added to the roster and the factions are throwing their hats into the ring. Climb aboard and saddle up! Part One of The Jungle Has Fangs Trilogy. (Level 1-4)",,"Kevin Engling",,,,,"RPG Area",,,,,,,,,
