11,"D&D Adventure's League DDAL 7-4 A Walk in the Park (Level 1-4)",N,"11/12/2017 11:00","11/12/2017 13:00","Role Playing",,7,"A mysterious clue has led you outside of the safety of the city’s walls and into the jungle beyond. You have been asked to venture into the jungle and seek out the wisdom of some of the native humanoids in the area�""perhaps they will be able to shed some light on the situation and provide some insight on who is behind it all. Part Two of The Jungle Has Fangs Trilogy. (Level 1-4)",,"Kevin Engling",,,,,"RPG Area",,,,,,,,,
12,"D&D Adventure's League DDAL 7-5 Whispers in the Dark (Level 1-4)",N,"11/12/2017 13:00","11/12/2017 15:00","Role Playing",,7,"The temple lay just ahead, and within the answers to a great many questions about the recent goings on in Port Nyanzaru. The journey here has been long and arduous and hopefully soon at an end. Leave your trepidations at the door; there’s exploring to be done! Part Three of The Jungle Has Fangs Trilogy. (Level 1-4)",,"Kevin Engling",,,,,"RPG Area",,,,,,,,,
13,"The Battle for Melate Prime",N,"11/11/2017 15:00","11/11/2017 19:00","Role Playing",,6,"Humanity is shattered and spread. Alien races are rampaging through our resource-rich solar system. After a century of fighting amongst ourselves, we have scavenged alien tech to allow us to fight back. You are one of those few troops fighting back. Wearing an advanced battle suit, you are assigned to hit an Anti-Matter Collection Facility on Melate Prime, the largest settlement on Ganymede. Just be careful; the anti-matter you're stealing is highly volatile.",,"Kevin Rohan",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
14,"The Forsaken Temple",N,"11/11/2017 20:00","11/11/2017 23:00","Role Playing",,6,"Whitescar is growing and reports state that there's another Godstone creating a stable pocket in the ever-shifting wastes of Hades. You are to take a small crew out to where the scouts said the temple was located. 

Come back alive, come back with your shield, and be ready for whatever horrors the Godstone has lured to it over the years. Some of them are certain to be hungry.
",,"Kevin Rohan",,,,,"RPG Area",,,,,,,,,
15,"A Fistful of Muppets",N,"11/11/2017 23:30","11/12/2017 02:30","Role Playing",,4,"In the town of El Rey, there is a group of army soldiers that is bringing a shipment of gold through town. With a ragtag group of Muppets, you plan on hitting that shipment, but something else is wrong in El Rey...
With this dark twist on the Muppets, you play Grover, Animal, Bert, Ernie, Beaker, and Oscar the Grouch as you unleash murder and mayhem on El Rey! 

Not one for the kids!
",,"Kevin Rohan",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
16,"The Great Cooking Mama Tournament ",N,"11/11/2017 15:00","11/11/2017 16:30","Video Game",,16,"People come from far away to make themselves known in the greatest Esports competition in the world: Cooking Mama

Sponsered by the DSU Esports Club come and see if you are the best cook in the Midwest. Entry is Free! Winner will receive a price fit for the 5 star chef",,"Dominic Sharma",,,,,"Console Games",,,,,,,,"DSU Esports",
17,"Hearthstone Fireside Gathering",N,"11/11/2017 11:00","11/11/2017 14:30","Card Game",,8,"Round Robin Hearthstone Tournament - Just a chill place to chill with chillers of the Chillstone.",,"Spencer Raap",,,,,"Computer Games",,,,,,,,"DSU eSports Club",
18,"Game Project Demos/Playtesting",N,"11/11/2017 13:00","11/11/2017 16:00",Presentation,,30,"GAME 333/444 will be playtesting their games at Nanocon! Games to play: Crusade in the Walls, Florida Man, Stormbreakers, Murder Mystery in Minnesota",,"Rachel Groth",,,,,"Console Games",,,,,,,,"Game Design",
19,"Game Projects Setup",N,"11/11/2017 12:00","11/11/2017 13:00",Setup,,20,"Setup for the demos and playtesting",,"Rachel Groth",,,,,"Console Games",,,,,,,,"Game design",
20,"Counter Strike 1v1 Tournament  ",N,"11/10/2017 18:00","11/10/2017 20:00","Computer Game",,15,"Want to test your Counter Strike Skills? Come and prove it in a double elimination 1v1 tournament! 

Attendees are expected to bring a mouse and keyboard.  A computer will be provided.

Entry is free!",,"Dillon Rangel",,,,,"Computer Games",,,,,,,,"DSU Esports ",
21,"Gamma World v3.5 (2010 ed.)",N,"11/10/2017 21:00","11/11/2017 00:00","Role Playing",,5,"A wacky, wily roleplaying game of post-apocalyptic peril. Earth. After the apocalypse. Never mind the radiation�""you’re gonna like it here. 
The D&D® Gamma World™ Roleplaying Game offers hours of rollicking entertainment in a savage land of adventure, where the survivors of some mythical future disaster must contend with radioactive wastes, ravaged cities, and rampant lawlessness. Against a nuclear backdrop, heroic scavengers search crumbled ruins for lost artifacts while battling mutants and other perils.",,"Peter Schueller",,,,,"RPG Area",,,,,,,,,
22,"Ultimate Jackbox Party night ",N,"11/10/2017 21:00","11/11/2017 01:00","Video Game",,999,"Welcome to the ultimate jackbox experience. Jackbox is a social party game where you and up to 16 people can play at once. more people can even join in as the audience as they can participate in it as well...Jackbox features minigames such as quiplash, faking it, drawful, and many more. Choose between all 4 jackboxes as you laugh it out on this fantastic social experience",,"David Enersen",,,,,"General Gaming Area",,,,,,,,,
23,"NANOCON Smash 4 Tournament ",N,"11/11/2017 19:00","11/12/2017 00:00","Video Game",,50,"Super smash bros for wii u tournament, where we'll be going by tournament standards to see who'll come up at top. do you have what it takes to be the top player?   ",,"David Enersen",,,,,"Console Games",,,,,,,,,
24,"Schroedinger's Box",N,"11/11/2017 15:00","11/11/2017 19:00","Role Playing",,6,"Jerry ""The Rat"" Pauluzi has crossed sold out, and almost every major crime syndicate in town either wants him dead or has pulled their protection from him.  With a few well-placed calls and a letter from the Black Dragons, even the PCs catch wind of his location; a hardened hotel used for witness protection in extreme cases.  The Black Dragons want him out alive, while everyone else has a price on his head so big that it's scaring the small fish away, but the big time hitters are all drooling at the chance to hit Jerry and cash in big-time.  On top of that, even the FBI guarding Jerry are salivating at the price-tag around his neck, and some of them have agreed to work together to take the little rat out themselves...",,"Allen Thiele",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
25,"Camp Wicakini",N,"11/11/2017 20:00","11/12/2017 00:00","Role Playing",,8,"Nestled among the dark forests of lake country stands a summer camp.  It is a place named after an old Indian word; Camp Wicakini.  On the shores of Lake Wicakini, the Lake of Ressurection, the camp has stood for decades.  However, now something evil walks the woods; something terrible, something...hungry....",,"Allen Thiele",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
26,"Behind Enemy Lines",N,"11/12/2017 12:00","11/12/2017 16:00","Role Playing",,6,"The year is 1864 and the South is losing, though they are not going down without a fight. Northern Intelligence has gathered many rumors of secret weapons and dark pacts between the Confederate states and foreign powers, but one in particular has the full attention of the Northern leaders. You and your squad of Union soldiers are sent to investigate what the nature of this alliance is.",,"Allen Thiele",,,,,"RPG Area",,,,,,,,"Silver Gryphon Games",
27,"Jabk box paty packs 1-4",N,"11/11/2017 15:00","11/11/2017 16:00","Video Game",,16,"will play  games like quiplash fibbage 3 bracketering  trival murder party and many more All you will need to have is a phone or some way to access jackbox.tv  the max people can play will very based on the game we but any one can be an audience member(some games dont have it).",,"Nick griffin",,,,,"Computer Games",,,,,,,,,
28,"Betral at the house on the hill with widows walk",N,"11/11/2017 18:00","11/11/2017 21:00","Board Game",,6,"Betrayal at House on the Hill quickly builds suspense and excitement as players explore a haunted mansion of their own design, encountering spirits and frightening omens that foretell their fate. With an estimated one hour playing time, Betrayal at House on the Hill is ideal for parties, family gatherings or casual fun with friends. (3-6 players)",,"nick griffin",,,,,"General Gaming Area",,,,,,,,,
29,"Swimming with the Fishes",N,"11/10/2017 13:00","11/10/2017 15:00","Video Game",,10,"ABZU (PS4) One-player, try out a game centered around fishes and exploration. Feel free to come try it out. ABZU will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,"Tracy Booze",,,,,"Speed Run Allyway",,,,,,,,,
30,"Creeping through the Dark",N,"11/10/2017 19:00","11/10/2017 23:00","Video Game",,10,"Little Nightmares (PS4) One-player, Join Six in her quest to stay alive on a ship full of inhabitants looking for her. Feel free to come try it out. Little Nightmares will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,"Tracy Booze",,,,,"Speed Run Allyway",,,,,,,,,
31,"Starving or Survival",N,"11/11/2017 11:00","11/11/2017 13:00","Video Game",,10,"Don't Starve Together (PS4) Couch co-op 2 players, survive the horrors of world while gather food to keep yourself alive and sane from the Eldritch abominations. Feel free to come try it out. Don't Starve will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,"Tracy Booze",,,,,"Speed Run Allyway",,,,,,,,,
32,"Chasing the Colors",N,"11/11/2017 15:00","11/11/2017 17:00","Video Game",,10,"Hue (PS4) One-player, Solve puzzles by changing the colors of your surroundings. Feel free to come try it out. Hue will be up for play, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,"Tracy Booze",,,,,"Speed Run Allyway",,,,,,,,,
33,"Persona through the Years",N,"11/11/2017 18:00","11/11/2017 21:00","Video Game",,10,"Persona Games (One-player), persona has been around for 20 years, Persona 3, 4 and 5, will be available for play. Feel free to come watch or play. Something Persona will be up for play or viewing, Speedrun Alley allows you to try out games, just ask and the controller can be handed over.",,"Tracy Booze",,,,,"Speed Run Allyway",,,,,,,,,
34,"Pathfinder: The Hellish Game",N,"11/11/2017 15:30","11/12/2017 03:30","Role Playing",,10,"We will be playing a game of Pathfinder with a group of people and an original campaign provided by the Game Master",,"Kyle Lehman",,,,,"RPG Area",,,,,,,,,
35,"NANOCON: melee tournament",N,"11/11/2017 18:00","11/11/2017 22:00","Video Game",,20,"test to see who's the best in this nintendo smash hit in the gamecube era! ",,"David Enersen",,,,,"Console Games",,,,,,,,,
36,"NANOCON: Pokkén Tournament DX Tournament",N,"11/11/2017 17:00","11/11/2017 20:00","Video Game",,20,"Think you got what it takes to be Pokkén champion? compete with other players in this hybrid fighter game.",,"David Enersen",,,,,"Console Games",,,,,,,,,
37,"DJMAX RESPECT ",N,"11/10/2017 19:00","11/10/2017 21:00","Video Game",,5,"The hit rhythm based game from korea comes to PS4 at last! Tap to hit notes to the beat of the rhythm in a style similar to guitar hero. play from 4 button mode or if your really coordinated 8 button mode! Duke it out among each other in the game's vs mode as well to see who's the best djmax player!",,"David Enersen",,,,,"Console Games",,,,,,,,,
38,"Warhamer 40k ",N,"11/10/2017 11:00","11/10/2017 15:00",Miniatures,,6,"40k play session",,"Carl Petersen",,,,,"Miniatures Area",,,,,,,,,
39,"PARANOIA (RPG)",N,"11/10/2017 19:00","11/10/2017 23:00","Role Playing",,6,"Ever wanted to shoot terrorists, communists, traitors or mutants? Want to murder your teammates because they are likely one of the above? Want to roll some six sided dice to do it? Paranoia is the game for you!",,"Adam Larson",,,,,"General Gaming Area",,,,,,,,,
40,"PARANOIA (RPG)",N,"11/11/2017 14:00","11/11/2017 18:00","Role Playing",,6,"Ever wanted to shoot terrorists, communists, traitors or mutants? Want to murder your teammates because they are likely one of the above? Want to roll some six sided dice to do it? Paranoia is the game for you!",,"Adam Larson",,,,,"General Gaming Area",,,,,,,,,
41,"Edh top 8",N,"11/11/2017 16:00","11/12/2017 00:00","Card Game",,8,"The last tournament of the edh league",,"Preston Evans",,,,,"General Gaming Area",,,,,,,,"Gaming club",
